0,3449.9,115,-2,-2
0.002,-200.91,0,-2,-2
0.004,-189.21,0,-2,-2
0.006,-179.55,-0.045498,-2,-2
0.008,-170.46,-0.090996,-2,-2
0.01,-161.9,-0.13649,-2,-2
0.012,-153.84,-0.18199,-2,-2
0.014,-146.92,-0.25024,-2,-2
0.016,-139.73,-0.29574,-2,-2
0.018,-133.64,-0.36398,-2,-2
0.02,-126.54,-0.38673,-2,-2
0.022,-121.22,-0.45498,-2,-2
0.024,-116.89,-0.54598,-2,-2
0.026,-112.13,-0.61422,-2,-2
0.028,-108.33,-0.70522,-2,-2
0.03,-105.44,-0.81896,-2,-2
0.032,-102.02,-0.90996,-2,-2
0.034,-100.18,-1.0465,-2,-2
0.036,-97.757,-1.1602,-2,-2
0.038,-96.159,-1.2967,-2,-2
0.04,-94.654,-1.4332,-2,-2
0.042,-93.236,-1.5697,-2,-2
0.044,-92.584,-1.7289,-2,-2
0.046,-91.969,-1.8882,-2,-2
0.048,-91.391,-2.0474,-2,-2
0.05,-91.528,-2.2294,-2,-2
0.052,-90.976,-2.3886,-2,-2
0.054,-91.137,-2.5706,-2,-2
0.056,-91.972,-2.7754,-2,-2
0.058,-92.076,-2.9574,-2,-2
0.06,-92.856,-3.1621,-2,-2
0.062,-90.861,-3.2759,-2,-2
0.064,-91.712,-3.4806,-2,-2
0.066,-93.196,-3.7081,-2,-2
0.068,-93.91,-3.9128,-2,-2
0.07,-95.266,-4.1403,-2,-2
0.072,-96.543,-4.3678,-2,-2
0.074,-98.428,-4.618,-2,-2
0.076,-99.521,-4.8455,-2,-2
0.078,-100.55,-5.073,-2,-2
0.08,-102.2,-5.3233,-2,-2
0.082,-103.76,-5.5735,-2,-2
0.084,-105.22,-5.8237,-2,-2
0.086,-106.6,-6.074,-2,-2
0.088,-108.58,-6.347,-2,-2
0.09,-110.45,-6.62,-2,-2
0.092,-112.89,-6.9157,-2,-2
0.094,-114.5,-7.1887,-2,-2
0.096,-117.39,-7.5072,-2,-2
0.098,-119.43,-7.8029,-2,-2
0.1,-121.34,-8.0986,-2,-2
0.102,-123.83,-8.4171,-2,-2
0.104,-121.4,-8.5764,-2,-2
0.106,-123.88,-8.8949,-2,-2
0.108,-126.22,-9.2133,-2,-2
0.11,-128.43,-9.5318,-2,-2
0.112,-131.19,-9.8731,-2,-2
0.114,-133.1,-10.192,-2,-2
0.116,-135.59,-10.533,-2,-2
0.118,-137.93,-10.874,-2,-2
0.12,-140.13,-11.215,-2,-2
0.122,-142.21,-11.556,-2,-2
0.124,-144.85,-11.92,-2,-2
0.126,-147.33,-12.284,-2,-2
0.128,-149.67,-12.648,-2,-2
0.13,-151.87,-13.012,-2,-2
0.132,-153.95,-13.376,-2,-2
0.134,-156.59,-13.763,-2,-2
0.136,-159.07,-14.15,-2,-2
0.138,-161.41,-14.537,-2,-2
0.14,-163.61,-14.923,-2,-2
0.142,-165,-15.287,-2,-2
0.144,-166.99,-15.674,-2,-2
0.146,-168.87,-16.061,-2,-2
0.148,-165.18,-16.266,-2,-2
0.15,-167.16,-16.652,-2,-2
0.152,-169.71,-17.062,-2,-2
0.154,-172.11,-17.471,-2,-2
0.156,-174.37,-17.881,-2,-2
0.158,-176.5,-18.29,-2,-2
0.16,-178.51,-18.7,-2,-2
0.162,-180.4,-19.109,-2,-2
0.164,-182.86,-19.541,-2,-2
0.166,-184.5,-19.951,-2,-2
0.168,-186.04,-20.36,-2,-2
0.17,-188.85,-20.815,-2,-2
0.172,-190.82,-21.248,-2,-2
0.174,-192.67,-21.68,-2,-2
0.176,-194.42,-22.112,-2,-2
0.178,-196.07,-22.544,-2,-2
0.18,-197.61,-22.976,-2,-2
0.182,-199.07,-23.409,-2,-2
0.184,-201.13,-23.864,-2,-2
0.186,-203.07,-24.319,-2,-2
0.188,-204.89,-24.774,-2,-2
0.19,-199.78,-25.001,-2,-2
0.192,-201.8,-25.456,-2,-2
0.194,-203.7,-25.911,-2,-2
0.196,-206.17,-26.389,-2,-2
0.198,-207.81,-26.844,-2,-2
0.2,-209.36,-27.299,-2,-2
0.202,-211.5,-27.777,-2,-2
0.204,-212.83,-28.232,-2,-2
0.206,-214.77,-28.709,-2,-2
0.208,-216.59,-29.187,-2,-2
0.21,-218.99,-29.687,-2,-2
0.212,-219.89,-30.142,-2,-2
0.214,-221.42,-30.62,-2,-2
0.216,-222.85,-31.098,-2,-2
0.218,-224.21,-31.576,-2,-2
0.22,-225.48,-32.053,-2,-2
0.222,-227.37,-32.554,-2,-2
0.224,-229.14,-33.054,-2,-2
0.226,-230.81,-33.555,-2,-2
0.228,-232.38,-34.055,-2,-2
0.23,-233.18,-34.533,-2,-2
0.232,-227.11,-34.783,-2,-2
0.234,-228.21,-35.261,-2,-2
0.236,-230.62,-35.784,-2,-2
0.238,-232.21,-36.285,-2,-2
0.24,-233.7,-36.785,-2,-2
0.242,-235.78,-37.308,-2,-2
0.244,-237.07,-37.809,-2,-2
0.246,-238.96,-38.332,-2,-2
0.248,-240.74,-38.855,-2,-2
0.25,-242.42,-39.379,-2,-2
0.252,-244,-39.902,-2,-2
0.254,-244.8,-40.402,-2,-2
0.256,-246.24,-40.925,-2,-2
0.258,-248.28,-41.471,-2,-2
0.26,-248.84,-41.972,-2,-2
0.262,-250.04,-42.495,-2,-2
0.264,-251.18,-43.018,-2,-2
0.266,-252.25,-43.542,-2,-2
0.268,-253.94,-44.088,-2,-2
0.27,-254.85,-44.611,-2,-2
0.272,-256.38,-45.157,-2,-2
0.274,-256.47,-45.657,-2,-2
